"rater_id","rated_ID","Group","domItem","dominanceRatings","id","Age","Sex","nominated","initInf","initLrn","Liked","Inflntl","ScoreCS","AgeCS","OverCS","OConfBIN","raterId","ratedID","grpID","itemID"
7,6,2,"R3",3,5,43,1,0,1,0,1.12555508859395,0.944127183571183,-0.421148953102164,-0.162038918773196,-0.358952865855424,0,108,94,10,5
8,6,2,"R3",5,9,43,1,0,1,0,1.12555508859395,0.944127183571183,-0.421148953102164,-0.162038918773196,-0.358952865855424,0,118,94,10,5
9,6,2,"R3",4,13,43,1,0,1,0,1.12555508859395,0.944127183571183,-0.421148953102164,-0.162038918773196,-0.358952865855424,0,127,94,10,5
10,6,2,"R3",4,17,43,1,0,1,0,1.12555508859395,0.944127183571183,-0.421148953102164,-0.162038918773196,-0.358952865855424,0,1,94,10,5
7,6,2,"R5",3,5,43,1,0,1,0,1.12555508859395,0.944127183571183,-0.421148953102164,-0.162038918773196,-0.358952865855424,0,108,94,10,6
8,6,2,"R5",4,9,43,1,0,1,0,1.12555508859395,0.944127183571183,-0.421148953102164,-0.162038918773196,-0.358952865855424,0,118,94,10,6
9,6,2,"R5",3,13,43,1,0,1,0,1.12555508859395,0.944127183571183,-0.421148953102164,-0.162038918773196,-0.358952865855424,0,127,94,10,6
10,6,2,"R5",3,17,43,1,0,1,0,1.12555508859395,0.944127183571183,-0.421148953102164,-0.162038918773196,-0.358952865855424,0,1,94,10,6
7,6,2,"R7",3,5,43,1,0,1,0,1.12555508859395,0.944127183571183,-0.421148953102164,-0.162038918773196,-0.358952865855424,0,108,94,10,7
8,6,2,"R7",4,9,43,1,0,1,0,1.12555508859395,0.944127183571183,-0.421148953102164,-0.162038918773196,-0.358952865855424,0,118,94,10,7
9,6,2,"R7",1,13,43,1,0,1,0,1.12555508859395,0.944127183571183,-0.421148953102164,-0.162038918773196,-0.358952865855424,0,127,94,10,7
10,6,2,"R7",1,17,43,1,0,1,0,1.12555508859395,0.944127183571183,-0.421148953102164,-0.162038918773196,-0.358952865855424,0,1,94,10,7
7,6,2,"R9",3,5,43,1,0,1,0,1.12555508859395,0.944127183571183,-0.421148953102164,-0.162038918773196,-0.358952865855424,0,108,94,10,8
8,6,2,"R9",5,9,43,1,0,1,0,1.12555508859395,0.944127183571183,-0.421148953102164,-0.162038918773196,-0.358952865855424,0,118,94,10,8
9,6,2,"R9",3,13,43,1,0,1,0,1.12555508859395,0.944127183571183,-0.421148953102164,-0.162038918773196,-0.358952865855424,0,127,94,10,8
10,6,2,"R9",3,17,43,1,0,1,0,1.12555508859395,0.944127183571183,-0.421148953102164,-0.162038918773196,-0.358952865855424,0,1,94,10,8
7,6,2,"R10rev",5,5,43,1,0,1,0,1.12555508859395,0.944127183571183,-0.421148953102164,-0.162038918773196,-0.358952865855424,0,108,94,10,1
8,6,2,"R10rev",5,9,43,1,0,1,0,1.12555508859395,0.944127183571183,-0.421148953102164,-0.162038918773196,-0.358952865855424,0,118,94,10,1
9,6,2,"R10rev",5,13,43,1,0,1,0,1.12555508859395,0.944127183571183,-0.421148953102164,-0.162038918773196,-0.358952865855424,0,127,94,10,1
10,6,2,"R10rev",7,17,43,1,0,1,0,1.12555508859395,0.944127183571183,-0.421148953102164,-0.162038918773196,-0.358952865855424,0,1,94,10,1
7,6,2,"R11",3,5,43,1,0,1,0,1.12555508859395,0.944127183571183,-0.421148953102164,-0.162038918773196,-0.358952865855424,0,108,94,10,2
8,6,2,"R11",6,9,43,1,0,1,0,1.12555508859395,0.944127183571183,-0.421148953102164,-0.162038918773196,-0.358952865855424,0,118,94,10,2
9,6,2,"R11",2,13,43,1,0,1,0,1.12555508859395,0.944127183571183,-0.421148953102164,-0.162038918773196,-0.358952865855424,0,127,94,10,2
